Industry Group,Symbol,Company Name,Date,Open,High,Low,Close,Change,% Change,Volume Traded,Value Traded (SAR),No. of Trades
Banks,1120,Al Rajhi Bank,01/01/2012,41.62,41.79,41.46,41.58,-0.15,-0.36,935110,38917143.75,568,
Banks,1120,Al Rajhi Bank,02/01/2012,41.46,41.79,41.46,41.58,0.00,0.00,1160754,48195852.25,612,
Banks,1120,Al Rajhi Bank,03/01/2012,41.62,41.79,41.46,41.58,0.00,0.00,1785572,74295810.75,692,
Banks,1120,Al Rajhi Bank,04/01/2012,41.79,41.95,41.62,41.73,0.15,0.36,1389355,57950369,623,
Banks,1120,Al Rajhi Bank,07/01/2012,41.95,43.74,41.95,43.68,1.95,4.67,4760280,204375665.5,2018,
Banks,1120,Al Rajhi Bank,08/01/2012,43.74,43.90,43.41,43.53,-0.15,-0.34,1917115,83707500,1056,
Banks,1120,Al Rajhi Bank,09/01/2012,43.57,43.74,43.09,43.37,-0.16,-0.37,1721565,74606873.25,863,
Banks,1120,Al Rajhi Bank,10/01/2012,43.41,44.88,43.25,44.43,1.06,2.44,3667387,161492165.25,1497,
Banks,1120,Al Rajhi Bank,11/01/2012,44.06,44.88,44.06,44.43,0.00,0.00,2153217,95989191,949,
Banks,1120,Al Rajhi Bank,14/01/2012,44.22,44.39,44.06,44.28,-0.15,-0.34,891128,39481753.25,617,
Banks,1120,Al Rajhi Bank,15/01/2012,44.22,44.39,43.90,44.13,-0.15,-0.34,1376369,60772689.75,663,
Banks,1120,Al Rajhi Bank,16/01/2012,43.90,44.39,43.41,43.53,-0.60,-1.36,1792679,78804389.25,910,
Banks,1120,Al Rajhi Bank,17/01/2012,43.57,43.90,42.92,42.92,-0.61,-1.40,1986043,86347047.5,987,
Banks,1120,Al Rajhi Bank,18/01/2012,42.92,43.57,42.27,43.07,0.15,0.35,3414817,146292934.75,1410,
Banks,1120,Al Rajhi Bank,21/01/2012,43.25,43.90,43.25,43.53,0.46,1.07,2515492,109544304.5,858,
Banks,1120,Al Rajhi Bank,22/01/2012,43.41,43.74,43.25,43.22,-0.31,-0.71,1380240,59872777.5,694,
