Date,Open,High,Low,Close,Change,% Change,Volume Traded
01/01/2012,41.62,41.79,41.46,41.58,-0.15,-0.36,935110
02/01/2012,41.46,41.79,41.46,41.58,0.00,0.00,1160754
03/01/2012,41.62,41.79,41.46,41.58,0.00,0.00,1785572
04/01/2012,41.79,41.95,41.62,41.73,0.15,0.36,1389355
07/01/2012,41.95,43.74,41.95,43.68,1.95,4.67,4760280
08/01/2012,43.74,43.90,43.41,43.53,-0.15,-0.34,1917115
09/01/2012,43.57,43.74,43.09,43.37,-0.16,-0.37,1721565
10/01/2012,43.41,44.88,43.25,44.43,1.06,2.44,3667387
11/01/2012,44.06,44.88,44.06,44.43,0.00,0.00,2153217
14/01/2012,44.22,44.39,44.06,44.28,-0.15,-0.34,891128
15/01/2012,44.22,44.39,43.90,44.13,-0.15,-0.34,1376369
16/01/2012,43.90,44.39,43.41,43.53,-0.60,-1.36,1792679
17/01/2012,43.57,43.90,42.92,42.92,-0.61,-1.40,1986043
18/01/2012,42.92,43.57,42.27,43.07,0.15,0.35,3414817
21/01/2012,43.25,43.90,43.25,43.53,0.46,1.07,2515492
22/01/2012,43.41,43.74,43.25,43.22,-0.31,-0.71,1380240
23/01/2012,43.41,43.41,42.92,43.07,-0.15,-0.35,1146189
24/01/2012,43.25,43.41,43.09,43.07,0.00,0.00,1162970
25/01/2012,43.09,43.57,43.09,43.37,0.30,0.70,1293440
28/01/2012,43.74,43.74,43.25,43.53,0.16,0.37,1581937
29/01/2012,43.57,43.74,43.25,43.37,-0.16,-0.37,1672466
30/01/2012,43.41,43.57,42.92,43.07,-0.30,-0.69,1535475
31/01/2012,43.09,43.57,42.92,43.37,0.30,0.70,1964052
01/02/2012,43.41,43.57,43.41,43.53,0.16,0.37,2519110
04/02/2012,43.74,45.36,43.57,44.43,0.90,2.07,4918464
05/02/2012,44.39,44.88,44.22,44.73,0.30,0.68,2911621
06/02/2012,44.71,44.71,44.22,44.43,-0.30,-0.67,1612238
07/02/2012,44.39,44.55,44.06,44.28,-0.15,-0.34,2092984
08/02/2012,44.39,44.71,44.22,44.58,0.30,0.68,2772347
11/02/2012,44.39,44.71,44.39,44.73,0.15,0.34,1801115
12/02/2012,44.55,44.71,44.22,44.58,-0.15,-0.34,1514316
13/02/2012,44.55,44.71,44.39,44.43,-0.15,-0.34,1541359
14/02/2012,44.55,44.71,44.06,44.28,-0.15,-0.34,1853435
15/02/2012,44.22,44.39,43.90,44.13,-0.15,-0.34,1571921
18/02/2012,44.22,44.22,43.90,43.98,-0.15,-0.34,1791636
19/02/2012,43.90,44.22,43.74,43.98,0.00,0.00,1983845
20/02/2012,43.90,44.55,43.90,44.28,0.30,0.68,3034243
21/02/2012,44.39,44.88,44.39,44.73,0.45,1.02,3395999
22/02/2012,44.88,46.01,44.88,45.32,0.59,1.32,5466554
25/02/2012,45.85,46.34,45.85,46.23,0.91,2.01,3274178
26/02/2012,46.50,47.15,45.85,46.68,0.45,0.97,4148130
27/02/2012,46.66,46.99,46.50,46.83,0.15,0.32,1880668
28/02/2012,46.83,47.80,46.50,47.13,0.30,0.64,4982295
29/02/2012,47.31,47.80,46.83,47.43,0.30,0.64,2927953
03/03/2012,47.80,48.61,47.64,48.48,1.05,2.21,3355910
04/03/2012,48.61,48.61,47.96,48.48,0.00,0.00,3692273
05/03/2012,46.83,47.31,46.50,46.83,-1.65,-3.40,4935621
06/03/2012,46.66,46.83,46.34,46.53,-0.30,-0.64,3230848
07/03/2012,46.01,46.34,45.53,46.08,-0.45,-0.97,2793430
10/03/2012,46.34,46.66,46.18,46.68,0.60,1.30,2636695
11/03/2012,46.66,47.15,46.66,46.83,0.15,0.32,2906685
12/03/2012,47.15,47.15,46.66,46.83,0.00,0.00,2657965
13/03/2012,46.83,47.31,46.18,46.53,-0.30,-0.64,5006009
14/03/2012,46.83,46.99,46.34,46.68,0.15,0.32,6048102
17/03/2012,46.66,46.99,46.50,46.68,0.00,0.00,3697313
18/03/2012,46.66,46.66,46.18,46.53,-0.15,-0.32,3719370
19/03/2012,46.66,46.83,46.34,46.38,-0.15,-0.32,3348239
20/03/2012,46.34,46.50,45.85,46.23,-0.15,-0.32,2638500
21/03/2012,46.01,46.50,46.01,46.23,0.00,0.00,2207197
24/03/2012,46.50,47.15,46.18,46.83,0.60,1.30,4376293
25/03/2012,46.99,48.29,46.99,47.88,1.05,2.24,7028133
26/03/2012,47.96,49.10,47.80,48.93,1.05,2.19,6786181
27/03/2012,48.94,49.92,48.78,49.38,0.45,0.92,7277396
28/03/2012,49.27,49.75,49.10,49.53,0.15,0.30,3437492
31/03/2012,49.75,49.92,49.43,49.68,0.15,0.30,3070718
01/04/2012,49.27,49.43,48.94,49.23,-0.45,-0.91,2784504
02/04/2012,49.27,49.59,48.94,49.23,0.00,0.00,2558303
03/04/2012,49.27,49.27,48.13,48.48,-0.75,-1.52,3568554
04/04/2012,48.29,48.61,48.13,48.33,-0.15,-0.31,2118201
07/04/2012,47.96,47.96,47.48,47.73,-0.60,-1.24,3334678
08/04/2012,47.80,48.29,46.99,47.27,-0.46,-0.96,5025875
09/04/2012,47.15,47.48,46.50,46.83,-0.44,-0.93,2884496
10/04/2012,46.83,47.15,45.69,45.78,-1.05,-2.24,2795415
11/04/2012,46.18,47.80,45.85,47.58,1.80,3.93,5969177
14/04/2012,47.15,47.96,46.34,46.53,-1.05,-2.21,3606069
15/04/2012,46.34,46.50,45.69,45.78,-0.75,-1.61,2629481
16/04/2012,45.85,46.18,45.20,45.32,-0.46,-1.00,2239953
17/04/2012,46.18,47.31,46.18,46.98,1.66,3.66,2450113
18/04/2012,47.15,47.15,46.66,46.83,-0.15,-0.32,1954220
21/04/2012,46.83,47.64,46.83,47.27,0.44,0.94,2083983
22/04/2012,47.31,47.64,47.15,47.27,0.00,0.00,1411489
